"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"26","USR0000IWIR",1991,2,"TMIN",-28,"H"," ","U",6,"H"," ","U",28,"H"," ","U",44,"H"," ","U",28,"H"," ","U",-6,"H"," ","U",-11,"H"," ","U",-28,"H"," ","U",-39,"H"," ","U",-44,"H"," ","U",-44,"H"," ","U",-6,"H"," ","U",0,"H"," ","U",39,"H"," ","U",44,"H"," ","U",17,"H"," ","U",0,"H"," ","U",-28,"H"," ","U",17,"H"," ","U",33,"H"," ","U",39,"H"," ","U",39,"H"," ","U",17,"H"," ","U",22,"H"," ","U",28,"H"," ","U",28,"H"," ","U",11,"H"," ","U",22,"H"," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," "
"27","USR0000IWIR",1991,2,"TAVG",11," "," ","U",37," "," ","U",57," "," ","U",66," "," ","U",46," "," ","U",18," "," ","U",31," "," ","U",10," "," ","U",1," "," ","U",1," "," ","U",6," "," ","U",18," "," ","U",32," "," ","U",67," "," ","U",67," "," ","U",42," "," ","U",12," "," ","U",1," "," ","U",44," "," ","U",63," "," ","U",84," "," ","U",83," "," ","U",48," "," ","U",48," "," ","U",57," "," ","U",61," "," ","U",56," "," ","U",60," "," ","U",NA," "," "," ",NA," "," "," ",NA," "," "," "
"28","USR0000IWIR",1991,3,"TMAX",100,"H"," ","U",78,"H"," ","U",133,"H"," ","U",111,"H"," ","U",17,"H","I","U",33,"H"," ","U",22,"H"," ","U",67,"H"," ","U",111,"H"," ","U",72,"H"," ","U",39,"H"," ","U",22,"H"," ","U",72,"H"," ","U",56,"H"," ","U",50,"H"," ","U",72,"H"," ","U",122,"H"," ","U",111,"H"," ","U",100,"H"," ","U",89,"H"," ","U",94,"H"," ","U",56,"H"," ","U",78,"H"," ","U",72,"H"," ","U",33,"H"," ","U",67,"H"," ","U",56,"H"," ","U",61,"H"," ","U",78,"H"," ","U",144,"H"," ","U",183,"H"," ","U"
"29","USR0000IWIR",1991,3,"TMIN",33,"H"," ","U",22,"H"," ","U",22,"H"," ","U",28,"H","I","U",-39,"H"," ","U",-50,"H"," ","U",-50,"H"," ","U",-11,"H"," ","U",17,"H"," ","U",6,"H"," ","U",-17,"H"," ","U",-28,"H"," ","U",-6,"H"," ","U",-17,"H"," ","U",-17,"H"," ","U",-22,"H"," ","U",17,"H"," ","U",50,"H"," ","U",17,"H"," ","U",-11,"H"," ","U",17,"H"," ","U",0,"H"," ","U",0,"H"," ","U",-6,"H"," ","U",-6,"H"," ","U",-6,"H"," ","U",-33,"H"," ","U",-6,"H"," ","U",-11,"H"," ","U",17,"H"," ","U",67,"H"," ","U"
"30","USR0000IWIR",1991,3,"TAVG",58," "," ","U",47," "," ","U",71," "," ","U",61," "," ","U",-16," "," ","U",-19," "," ","U",-8," "," ","U",24," "," ","U",57," "," ","U",41," "," ","U",6," "," ","U",2," "," ","U",27," "," ","U",11," "," ","U",11," "," ","U",28," "," ","U",63," "," ","U",72," "," ","U",58," "," ","U",34," "," ","U",51," "," ","U",27," "," ","U",31," "," ","U",32," "," ","U",17," "," ","U",25," "," ","U",14," "," ","U",30," "," ","U",35," "," ","U",82," "," ","U",123," "," ","U"
"31","USR0000IWIR",1991,4,"TMAX",172,"H"," ","U",117,"H"," ","U",133,"H"," ","U",161,"H"," ","U",133,"H"," ","U",78,"H"," ","U",50,"H"," ","U",78,"H"," ","U",83,"H"," ","U",17,"H"," ","U",72,"H"," ","U",117,"H"," ","U",117,"H"," ","U",139,"H"," ","U",89,"H"," ","U",56,"H"," ","U",94,"H"," ","U",111,"H"," ","U",150,"H"," ","U",150,"H"," ","U",183,"H"," ","U",178,"H"," ","U",183,"H"," ","U",94,"H"," ","U",56,"H"," ","U",61,"H"," ","U",67,"H"," ","U",106,"H"," ","U",100,"H"," ","U",144,"H"," ","U",NA," "," "," "
"32","USR0000IWIR",1991,4,"TMIN",94,"H"," ","U",50,"H"," ","U",22,"H"," ","U",78,"H"," ","U",67,"H"," ","U",11,"H"," ","U",-17,"H"," ","U",-28,"H"," ","U",-6,"H"," ","U",-39,"H"," ","U",-28,"H"," ","U",22,"H"," ","U",28,"H"," ","U",33,"H"," ","U",11,"H"," ","U",11,"H"," ","U",6,"H"," ","U",22,"H"," ","U",44,"H"," ","U",78,"H"," ","U",67,"H"," ","U",67,"H"," ","U",83,"H"," ","U",11,"H"," ","U",-6,"H"," ","U",-28,"H"," ","U",0,"H"," ","U",0,"H"," ","U",-6,"H"," ","U",22,"H"," ","U",NA," "," "," "
"33","USR0000IWIR",1991,4,"TAVG",126," "," ","U",78," "," ","U",86," "," ","U",124," "," ","U",108," "," ","U",43," "," ","U",14," "," ","U",31," "," ","U",41," "," ","U",-13," "," ","U",24," "," ","U",68," "," ","U",72," "," ","U",82," "," ","U",52," "," ","U",33," "," ","U",40," "," ","U",54," "," ","U",94," "," ","U",110," "," ","U",118," "," ","U",123," "," ","U",118," "," ","U",52," "," ","U",9," "," ","U",23," "," ","U",29," "," ","U",54," "," ","U",50," "," ","U",85," "," ","U",NA," "," "," "
"34","USR0000IWIR",1991,5,"TMAX",161,"H"," ","U",128,"H"," ","U",128,"H"," ","U",144,"H"," ","U",178,"H"," ","U",156,"H"," ","U",178,"H"," ","U",111,"H"," ","U",83,"H"," ","U",111,"H"," ","U",122,"H"," ","U",128,"H"," ","U",128,"H"," ","U",139,"H"," ","U",172,"H"," ","U",206,"H"," ","U",122,"H"," ","U",117,"H"," ","U",139,"H"," ","U",139,"H"," ","U",200,"H"," ","U",206,"H"," ","U",211,"H"," ","U",217,"H"," ","U",139,"H"," ","U",144,"H"," ","U",144,"H"," ","U",200,"H"," ","U",150,"H"," ","U",122,"H"," ","U",178,"H"," ","U"
"35","USR0000IWIR",1991,5,"TMIN",67,"H"," ","U",61,"H"," ","U",39,"H"," ","U",61,"H"," ","U",89,"H"," ","U",83,"H"," ","U",72,"H"," ","U",28,"H"," ","U",0,"H"," ","U",28,"H"," ","U",44,"H"," ","U",50,"H"," ","U",67,"H"," ","U",61,"H"," ","U",67,"H"," ","U",106,"H"," ","U",50,"H"," ","U",33,"H"," ","U",28,"H"," ","U",72,"H"," ","U",128,"H"," ","U",111,"H"," ","U",94,"H"," ","U",111,"H"," ","U",67,"H"," ","U",39,"H"," ","U",56,"H"," ","U",61,"H"," ","U",61,"H"," ","U",44,"H"," ","U",67,"H"," ","U"
"36","USR0000IWIR",1991,5,"TAVG",108," "," ","U",90," "," ","U",82," "," ","U",99," "," ","U",129," "," ","U",113," "," ","U",122," "," ","U",73," "," ","U",42," "," ","U",66," "," ","U",71," "," ","U",88," "," ","U",85," "," ","U",93," "," ","U",133," "," ","U",153," "," ","U",83," "," ","U",59," "," ","U",81," "," ","U",102," "," ","U",166," "," ","U",162," "," ","U",162," "," ","U",164," "," ","U",101," "," ","U",91," "," ","U",100," "," ","U",124," "," ","U",92," "," ","U",79," "," ","U",123," "," ","U"
"37","USR0000IWIR",1991,6,"TMAX",233,"H"," ","U",250,"H"," ","U",217,"H"," ","U",100,"H"," ","U",133,"H"," ","U",156,"H"," ","U",194,"H"," ","U",206,"H"," ","U",261,"H"," ","U",294,"H"," ","U",250,"H"," ","U",217,"H"," ","U",161,"H"," ","U",167,"H"," ","U",267,"H"," ","U",211,"H"," ","U",194,"H"," ","U",272,"H"," ","U",272,"H"," ","U",194,"H"," ","U",233,"H"," ","U",244,"H"," ","U",239,"H"," ","U",222,"H"," ","U",217,"H"," ","U",194,"H"," ","U",222,"H"," ","U",256,"H"," ","U",161,"H"," ","U",217,"H"," ","U",NA," "," "," "
"38","USR0000IWIR",1991,6,"TMIN",117,"H"," ","U",144,"H"," ","U",100,"H"," ","U",44,"H"," ","U",33,"H"," ","U",44,"H"," ","U",44,"H"," ","U",122,"H"," ","U",128,"H"," ","U",139,"H"," ","U",172,"H"," ","U",78,"H"," ","U",61,"H"," ","U",44,"H"," ","U",100,"H"," ","U",106,"H"," ","U",67,"H"," ","U",122,"H"," ","U",106,"H"," ","U",89,"H"," ","U",83,"H"," ","U",122,"H"," ","U",139,"H"," ","U",111,"H"," ","U",89,"H"," ","U",94,"H"," ","U",106,"H"," ","U",111,"H"," ","U",100,"H"," ","U",94,"H"," ","U",NA," "," "," "
