"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USW00093063",1960,5,"TMAX",206," "," ","0",239," "," ","0",222," "," ","0",183," "," ","0",156," "," ","0",233," "," ","0",256," "," ","0",283," "," ","0",311," "," ","0",322," "," ","0",339," "," ","0",328," "," ","0",317," "," ","0",311," "," ","0",250," "," ","0",267," "," ","0",267," "," ","0",250," "," ","0",222," "," ","0",244," "," ","0",294," "," ","0",283," "," ","0",272," "," ","0",244," "," ","0",256," "," ","0",300," "," ","0",317," "," ","0",317," "," ","0",289," "," ","0",306," "," ","0",306," "," ","0"
"2","USW00093063",1960,5,"TMIN",28," "," ","0",17," "," ","0",56," "," ","0",61," "," ","0",39," "," ","0",17," "," ","0",33," "," ","0",67," "," ","0",117," "," ","0",111," "," ","0",106," "," ","0",111," "," ","0",133," "," ","0",128," "," ","0",83," "," ","0",56," "," ","0",83," "," ","0",83," "," ","0",72," "," ","0",17," "," ","0",50," "," ","0",83," "," ","0",83," "," ","0",89," "," ","0",50," "," ","0",89," "," ","0",100," "," ","0",117," "," ","0",117," "," ","0",117," "," ","0",111," "," ","0"
"3","USW00093063",1960,5,"PRCP",0," "," ","0",0," "," ","0",0," "," ","0",0,"T"," ","0",5," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0"
"4","USW00093063",1960,5,"SNOW",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0"
"5","USW00093063",1960,5,"SNWD",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0"
"6","USW00093063",1960,6,"TMAX",328," "," ","0",339," "," ","0",328," "," ","0",328," "," ","0",311," "," ","0",289," "," ","0",289," "," ","0",306," "," ","0",322," "," ","0",278," "," ","0",289," "," ","0",311," "," ","0",333," "," ","0",350," "," ","0",344," "," ","0",350," "," ","0",367," "," ","0",378," "," ","0",389," "," ","0",378," "," ","0",378," "," ","0",367," "," ","0",372," "," ","0",344," "," ","0",339," "," ","0",344," "," ","0",356," "," ","0",378," "," ","0",383," "," ","0",378," "," ","0",NA," "," "," "
"7","USW00093063",1960,6,"TMIN",100," "," ","0",117," "," ","0",156," "," ","0",139," "," ","0",150," "," ","0",128," "," ","0",100," "," ","0",117," "," ","0",144," "," ","0",89," "," ","0",139," "," ","0",100," "," ","0",156," "," ","0",144," "," ","0",167," "," ","0",172," "," ","0",200," "," ","0",200," "," ","0",200," "," ","0",189," "," ","0",222," "," ","0",222," "," ","0",189," "," ","0",200," "," ","0",156," "," ","0",161," "," ","0",167," "," ","0",200," "," ","0",189," "," ","0",206," "," ","0",NA," "," "," "
"8","USW00093063",1960,6,"PRCP",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",3," "," ","0",5," "," ","0",0,"T"," ","0",0," "," ","0",25," "," ","0",318," "," ","0",0,"T"," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0,"T"," ","0",0,"T"," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",NA," "," "," "
"9","USW00093063",1960,6,"SNOW",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",NA," "," "," "
"10","USW00093063",1960,6,"SNWD",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",NA," "," "," "
