"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","US1WAFY0008",2011,10,"PRCP",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",48," "," ","N",NA," "," "," ",0,"T"," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",0," "," ","N",0,"T"," ","N",3," "," ","N"
"2","US1WAFY0008",2011,10,"SNOW",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0," "," ","N",0," "," ","N",NA," "," "," ",0," "," ","N",NA," "," "," ",0," "," ","N"
"3","US1WAFY0008",2011,11,"PRCP",0,"T"," ","N",0," "," ","N",8," "," ","N",23," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",71," "," ","N",23," "," ","N",0,"T"," ","N",127," "," ","N",0," "," ","N",89," "," ","N",33," "," ","N",58," "," ","N",0," "," ","N",10," "," ","N",117," "," ","N",119," "," ","N",8," "," ","N",25," "," ","N",0," "," ","N",0,"T"," ","N",0," "," ","N",5," "," ","N",13," "," ","N",NA," "," "," "
"4","US1WAFY0008",2011,11,"SNOW",NA," "," "," ",0," "," ","N",8," "," ","N",25," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",NA," "," "," ",0," "," ","N",0," "," ","N",127," "," ","N",51," "," ","N",0,"T"," ","N",25," "," ","N",0," "," ","N",76," "," ","N",38," "," ","N",102," "," ","N",0," "," ","N",10," "," ","N",137," "," ","N",NA," "," "," ",NA," "," "," ",28," "," ","N",0," "," ","N",NA," "," "," ",0," "," ","N",5," "," ","N",18," "," ","N",NA," "," "," "
"5","US1WAFY0008",2011,11,"SNWD",NA," "," "," ",NA," "," "," ",NA," "," "," ",0,"T"," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",0,"T"," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",127," "," ","N",127," "," ","N",51," "," ","N",76," "," ","N",76," "," ","N",127," "," ","N",152," "," ","N",229," "," ","N",203," "," ","N",178," "," ","N",305," "," ","N",127," "," ","N",102," "," ","N",89," "," ","N",89," "," ","N",89," "," ","N",76," "," ","N",76," "," ","N",102," "," ","N",NA," "," "," "
"6","US1WAFY0008",2011,11,"WESD",NA," "," "," ",NA," "," "," ",NA," "," "," ",30," "," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",0,"T"," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",71," "," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"7","US1WAFY0008",2011,11,"WESF",NA," "," "," ",NA," "," "," ",8," "," ","N",23," "," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",0,"T"," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",71," "," ","N",23," "," ","N",NA," "," "," ",127," "," ","N",NA," "," "," ",89," "," ","N",33," "," ","N",58," "," ","N",NA," "," "," ",NA," "," "," ",117," "," ","N",NA," "," "," ",NA," "," "," ",25," "," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",13," "," ","N",NA," "," "," "
"8","US1WAFY0008",2011,12,"PRCP",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",23," "," ","N",0," "," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",0," "," ","N",20," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",0," "," ","N",28," "," ","N",28," "," ","N",3," "," ","N",69," "," ","N",NA," "," "," "
"9","US1WAFY0008",2011,12,"SNOW",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",23," "," ","N",0," "," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",0," "," ","N",30," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0,"T"," ","N",0," "," ","N",33," "," ","N",20," "," ","N",NA," "," "," ",89," "," ","N",NA," "," "," "
"10","US1WAFY0008",2011,12,"SNWD",89," "," ","N",89," "," ","N",76," "," ","N",76," "," ","N",76," "," ","N",76," "," ","N",76," "," ","N",76," "," ","N",76," "," ","N",76," "," ","N",76," "," ","N",64," "," ","N",64," "," ","N",64," "," ","N",89," "," ","N",89," "," ","N",89," "," ","N",89," "," ","N",76," "," ","N",76," "," ","N",102," "," ","N",102," "," ","N",102," "," ","N",102," "," ","N",102," "," ","N",102," "," ","N",135," "," ","N",152," "," ","N",127," "," ","N",216," "," ","N",NA," "," "," "
