"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","USC00055934",1987,6,"TMAX",261," "," ","0",211," "," ","0",178," "," ","0",194," "," ","0",272," "," ","0",311," "," ","0",306," "," ","0",289," "," ","0",206," "," ","0",178," "," ","0",267," "," ","0",283," "," ","0",283," "," ","0",300," "," ","0",278," "," ","0",311," "," ","0",328," "," ","0",294," "," ","0",239," "," ","0",283," "," ","0",306," "," ","0",317," "," ","0",228," "," ","0",228," "," ","0",250," "," ","0",283," "," ","0",322," "," ","0",283," "," ","0",150," "," ","0",228," "," ","0",NA," "," "," "
"2","USC00055934",1987,6,"TMIN",89," "," ","0",44," "," ","0",44," "," ","0",67," "," ","0",67," "," ","0",72," "," ","0",67," "," ","0",67," "," ","0",128," "," ","0",100," "," ","0",100," "," ","0",100," "," ","0",83," "," ","0",94," "," ","0",100," "," ","0",111," "," ","0",89," "," ","0",89," "," ","0",122," "," ","0",106," "," ","0",111," "," ","0",78," "," ","0",106," "," ","0",89," "," ","0",100," "," ","0",122," "," ","0",100," "," ","0",100," "," ","0",111," "," ","0",100," "," ","0",NA," "," "," "
"3","USC00055934",1987,6,"TOBS",94," "," ","0",44," "," ","0",78," "," ","0",67," "," ","0",72," "," ","0",117," "," ","0",89," "," ","0",139," "," ","0",128," "," ","0",100," "," ","0",106," "," ","0",133," "," ","0",94," "," ","0",133," "," ","0",111," "," ","0",111," "," ","0",89," "," ","0",122," "," ","0",128," "," ","0",150," "," ","0",144," "," ","0",106," "," ","0",106," "," ","0",139," "," ","0",122," "," ","0",128," "," ","0",100," "," ","0",122," "," ","0",122," "," ","0",106," "," ","0",NA," "," "," "
"4","USC00055934",1987,6,"PRCP",0," "," ","0",0," "," ","0",0," "," ","0",0,"T"," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",30," "," ","0",71," "," ","0",0,"T"," ","0",5," "," ","0",0," "," ","0",0," "," ","0",0,"T"," ","0",53," "," ","0",0,"T"," ","0",79," "," ","0",46," "," ","0",0," "," ","0",69," "," ","0",0," "," ","0",8," "," ","0",0," "," ","0",0," "," ","0",0," "," ","0",0,"T"," ","0",20," "," ","0",53," "," ","0",0,"T"," ","0",NA," "," "," "
"5","USC00055934",1987,6,"SNOW",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",NA," "," "," "
"6","USC00055934",1987,6,"SNWD",0," "," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",0,"P"," ","0",NA," "," "," "
"7","USC00055934",1987,6,"WT01",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",1," "," ","0",1," "," ","0",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",1," "," ","0",1," "," ","0",NA," "," "," "
"8","USC00055934",1987,6,"WT03",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",1," "," ","0",1," "," ","0",1," "," ","0",1," "," ","0",1," "," ","0",NA," "," "," ",1," "," ","0",1," "," ","0",1," "," ","0",1," "," ","0",1," "," ","0",NA," "," "," ",1," "," ","0",NA," "," "," ",1," "," ","0",NA," "," "," ",NA," "," "," ",NA," "," "," ",1," "," ","0",1," "," ","0",NA," "," "," ",NA," "," "," ",NA," "," "," "
"9","USC00055934",1987,6,"WT05",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",1," "," ","0",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," "
"10","USC00055934",1987,7,"TMAX",300," "," ","0",294," "," ","0",272," "," ","0",272," "," ","0",278," "," ","0",283," "," ","0",267," "," ","0",261," "," ","0",339," "," ","0",333," "," ","0",261," "," ","0",122," "," ","0",239," "," ","0",261," "," ","0",322," "," ","0",350," "," ","0",261," "," ","0",311," "," ","0",322," "," ","0",322," "," ","0",344," "," ","0",344," "," ","0",344," "," ","0",350," "," ","0",350," "," ","0",344," "," ","0",350," "," ","0",350," "," ","0",356," "," ","0",356," "," ","0",344," "," ","0"
