"","id","year","month","element","VALUE1","MFLAG1","QFLAG1","SFLAG1","VALUE2","MFLAG2","QFLAG2","SFLAG2","VALUE3","MFLAG3","QFLAG3","SFLAG3","VALUE4","MFLAG4","QFLAG4","SFLAG4","VALUE5","MFLAG5","QFLAG5","SFLAG5","VALUE6","MFLAG6","QFLAG6","SFLAG6","VALUE7","MFLAG7","QFLAG7","SFLAG7","VALUE8","MFLAG8","QFLAG8","SFLAG8","VALUE9","MFLAG9","QFLAG9","SFLAG9","VALUE10","MFLAG10","QFLAG10","SFLAG10","VALUE11","MFLAG11","QFLAG11","SFLAG11","VALUE12","MFLAG12","QFLAG12","SFLAG12","VALUE13","MFLAG13","QFLAG13","SFLAG13","VALUE14","MFLAG14","QFLAG14","SFLAG14","VALUE15","MFLAG15","QFLAG15","SFLAG15","VALUE16","MFLAG16","QFLAG16","SFLAG16","VALUE17","MFLAG17","QFLAG17","SFLAG17","VALUE18","MFLAG18","QFLAG18","SFLAG18","VALUE19","MFLAG19","QFLAG19","SFLAG19","VALUE20","MFLAG20","QFLAG20","SFLAG20","VALUE21","MFLAG21","QFLAG21","SFLAG21","VALUE22","MFLAG22","QFLAG22","SFLAG22","VALUE23","MFLAG23","QFLAG23","SFLAG23","VALUE24","MFLAG24","QFLAG24","SFLAG24","VALUE25","MFLAG25","QFLAG25","SFLAG25","VALUE26","MFLAG26","QFLAG26","SFLAG26","VALUE27","MFLAG27","QFLAG27","SFLAG27","VALUE28","MFLAG28","QFLAG28","SFLAG28","VALUE29","MFLAG29","QFLAG29","SFLAG29","VALUE30","MFLAG30","QFLAG30","SFLAG30","VALUE31","MFLAG31","QFLAG31","SFLAG31"
"1","US1IDID0009",2016,10,"PRCP",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",48," "," ","N",10," "," ","N",NA," "," "," ",5," "," ","N",NA," "," "," ",76," "," ","N",71," "," ","N"
"2","US1IDID0009",2016,11,"PRCP",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0,"T"," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",0,"T"," ","N",36," "," ","N",71," "," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",15," "," ","N",10," "," ","N",5," "," ","N",30," "," ","N",NA," "," "," ",NA," "," "," ",NA," "," "," ",66," "," ","N",74," "," ","N",0,"T"," ","N",NA," "," "," "
"3","US1IDID0009",2016,11,"SNOW",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",51," "," ","N",0,"T"," ","N",NA," "," "," "
"4","US1IDID0009",2016,11,"SNWD",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",NA," "," "," ",51," "," ","N",43," "," ","N",NA," "," "," "
"5","US1IDID0009",2016,12,"PRCP",5," "," ","N",0,"T"," ","N",0," "," ","N",3," "," ","N",36," "," ","N",0," "," ","N",10," "," ","N",0," "," ","N",23," "," ","N",13," "," ","N",15," "," ","N",15," "," ","N",10," "," ","N",0,"T"," ","N",43," "," ","N",10," "," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",10," "," ","N",NA," "," "," ",NA," "," "," ",0," "," ","N",51," "," ","N",10," "," ","N",NA," "," "," ",10," "," ","N",23," "," ","N",0," "," ","N",0,"T"," ","N",0,"T"," ","N"
"6","US1IDID0009",2016,12,"SNOW",0," "," ","N",NA," "," "," ",0," "," ","N",NA," "," "," ",0,"T"," ","N",0," "," ","N",15," "," ","N",0," "," ","N",38," "," ","N",15," "," ","N",33," "," ","N",25," "," ","N",0,"T"," ","N",0,"T"," ","N",51," "," ","N",13," "," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",5," "," ","N",NA," "," "," ",NA," "," "," ",0," "," ","N",69," "," ","N",20," "," ","N",NA," "," "," ",13," "," ","N",38," "," ","N",0," "," ","N",0,"T"," ","N",0,"T"," ","N"
"7","US1IDID0009",2016,12,"SNWD",43," "," ","N",43," "," ","N",38," "," ","N",0,"T"," ","N",0,"T"," ","N",0,"T"," ","N",15," "," ","N",13," "," ","N",51," "," ","N",64," "," ","N",81," "," ","N",81," "," ","N",76," "," ","N",76," "," ","N",114," "," ","N",127," "," ","N",127," "," ","N",127," "," ","N",127," "," ","N",114," "," ","N",NA," "," "," ",NA," "," "," ",102," "," ","N",152," "," ","N",152," "," ","N",NA," "," "," ",140," "," ","N",165," "," ","N",152," "," ","N",127," "," ","N",140," "," ","N"
"8","US1IDID0009",2017,1,"PRCP",3," "," ","N",3," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",20," "," ","N",41," "," ","N",51," "," ","N",38," "," ","N",10," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",5," "," ","N",20," "," ","N",18," "," ","N",0," "," ","N",0," "," ","N",15," "," ","N",15," "," ","N",0,"T"," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",0," "," ","N",NA," "," "," ",5," "," ","N"
"9","US1IDID0009",2017,1,"SNOW",0,"T"," ","N",0,"T"," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",15," "," ","N",NA," "," "," ",0,"T"," ","N",51," "," ","N",13," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",0," "," ","N",5," "," ","N",NA," "," "," ",0,"T"," ","N",0," "," ","N",0," "," ","N",NA," "," "," ",0,"T"," ","N",NA," "," "," ",0,"T"," ","N",0," "," ","N",0," "," ","N",0," "," ","N",NA," "," "," ",5," "," ","N"
"10","US1IDID0009",2017,1,"SNWD",140," "," ","N",140," "," ","N",140," "," ","N",140," "," ","N",140," "," ","N",140," "," ","N",140," "," ","N",152," "," ","N",140," "," ","N",152," "," ","N",203," "," ","N",203," "," ","N",203," "," ","N",203," "," ","N",203," "," ","N",203," "," ","N",203," "," ","N",203," "," ","N",178," "," ","N",178," "," ","N",178," "," ","N",165," "," ","N",152," "," ","N",152," "," ","N",152," "," ","N",152," "," ","N",152," "," ","N",152," "," ","N",152," "," ","N",NA," "," "," ",152," "," ","N"
